term,definition,ipa,synonyms,antonyms
telling,""" adj. having a striking or revealing effect; significant. """"a telling argument against this theory"""" """"a telling critique of the military mind""""""",ˈteliNG,"revealing, significant, weighty, important, meaningful, influential, striking, potent, powerful, compelling",
flush,""" v. (of a person's skin or face) become red and hot, typically as the result of illness or strong emotion. """"Mr. Cunningham flushed angrily""""    v. cleanse (something, especially a toilet) by causing large quantities of water to pass through it. """"the nurse flushed out the catheter""""   v. remove or dispose of (an object or substance) by flushing. """"I flushed the pills down the toilet"""" """"fruit helps to flush toxins from the body""""""",fləSH,"blush, redden, go pink, go red, go crimson, go scarlet, color (up), rinse (out), wash (out/down), sluice, swill, cleanse, clean, hose (down), swab",
fret,""" v. be constantly or visibly worried or anxious. """"she fretted about the cost of groceries"""" """,fret,"worry, be anxious, feel uneasy, be distressed, be upset, upset oneself, concern oneself",
inclement,"adj. (of the weather) unpleasantly cold or wet. synonyms: cold, chilly, bleak, wintry, freezing, snowy, icy",inˈklemənt,,
retiring,""" adj. shy and fond of being on one's own. """"you have to be fairly resilient and not too much of a shy retiring type""""""",rəˈtī(ə)riNG,,
dispatch,""" v. send off to a destination or for a purpose. """"he dispatched messages back to base"""" """"all the messages were dispatched""""   v. deal with (a task, problem, or opponent) quickly and efficiently. """"they dispatched the opposition"""" """,dəˈspaCH,"send (off), post, mail, forward, transmit, email, deal with, finish, conclude, settle, discharge, perform",
underwrite,"v. sign and accept liability under (an insurance policy), thus guaranteeing payment in case loss or damage occurs.   v. (of a bank or other financial institution) pledge to buy all the unsold shares in (an issue of new securities).",ˈəndə(r)ˌrīt,,
demure,""" adj. (of a woman or her behavior) reserved, modest, and shy. """"a demure little wife who sits at home minding the house"""" """,dəˈmyo͝or,"modest, unassuming, meek, mild, reserved, retiring, quiet, shy, bashful, diffident, reticent, timid, shrinking, coy",
antedate,""" v. precede in time; come before (something) in date. """"a civilization that antedates the Roman Empire""""""",ˈan(t)iˌdāt,"precede, predate, come/go before, be earlier than",
imponderable,""" n. a factor that is difficult or impossible to estimate or assess. """"there are too many imponderables for an overall prediction""""   adj. difficult or impossible to estimate, assess, or answer. """"an imponderable problem of metaphysics""""""",imˈpändərəbəl,,
raffish,""" adj. unconventional and slightly disreputable, especially in an attractive manner. """"his raffish air"""" """,ˈrafiSH,"rakish, unconventional, Bohemian",
staunch,""" adj. loyal and committed in attitude. """"a staunch supporter of the antinuclear lobby"""" """,stôn(t)SH,"stalwart, loyal, faithful, committed, devoted, dedicated, dependable, reliable, steady, constant, trusty, hard-working, steadfast, redoubtable, unwavering, tireless",
prowess,""" n. skill or expertise in a particular activity or field. """"his prowess as a fisherman"""" """"his prowess as a winemaker""""""",ˈprouəs,"skill, expertise, mastery, facility, ability, capability, capacity, savoir faire, talent, genius, adeptness, aptitude, dexterity, deftness, competence, accomplishment, proficiency, finesse",
myopic,""" adj. lacking imagination, foresight, or intellectual insight. """"the government still has a myopic attitude to public spending"""" """"the government's myopic attitude""""   adj. nearsighted. """"a myopic patient""""""",ˌmīˈäpik,"unimaginative, uncreative, unadventurous, narrow-minded, small-minded, short-term, shortsighted, nearsighted; shortsighted",
valediction,""" n. the action of saying farewell. """"he spread his palm in valediction"""" """"he departed without a valediction""""""",ˌvaləˈdikSHən,"farewell, goodbye, adieu, leave-taking; parting words",
heedless,""" adj. showing a reckless lack of care or attention. """"“Elaine!” she shouted, heedless of attracting unwanted attention"""" """,ˈhēdləs,"unmindful, taking no notice, paying no heed, unheeding, disregardful, neglectful, oblivious, inattentive, blind, deaf",
flaunt,""" v. display (something) ostentatiously, especially in order to provoke envy or admiration or to show defiance. """"newly rich consumers eager to flaunt their prosperity"""" """,flônt,"show off, display ostentatiously, make a (great) show of, put on show/display, parade",
fetid,""" adj. smelling extremely unpleasant. """"the fetid water of the marsh"""" """,ˈfedid,"stinking, smelly, foul-smelling, malodorous, reeking, pungent, acrid, high, rank, foul, noxious, humming",
cloy,""" v. disgust or sicken (someone) with an excess of sweetness, richness, or sentiment. """"a romantic, rather cloying story"""" """,kloi,"sickly, syrupy, saccharine, oversweet",
ascendancy,""" n. occupation of a position of dominant power or influence. """"the ascendancy of good over evil"""" """,əˈsendənsē,"dominance, domination, supremacy, superiority, paramountcy, predominance, primacy, dominion, hegemony, authority, control, command, power, rule, sovereignty, lordship, leadership, influence",
pittance,"n. a very small or inadequate amount of money paid to someone as an allowance or wage. synonyms: a tiny amount, next to nothing, very little",ˈpitns,,
genteel,"adj. polite, refined, or respectable, often in an affected or ostentatious way. synonyms: refined, respectable, decorous, mannerly, well mannered, courteous, polite, proper, correct, seemly",jenˈtēl,,
virago,"n. a domineering, violent, or bad-tempered woman. synonyms: harridan, shrew, dragon, termagant, vixen",vəˈräɡō,,
invective,""" n. insulting, abusive, or highly critical language. """"he let out a stream of invective"""" """,inˈvektiv,"abuse, insults, expletives, swear words, swearing, curses, foul language, foul language, vituperation",
start,""" n. a sudden movement of surprise or alarm. """"she awoke with a start"""" """,stärt,"jerk, twitch, flinch, wince, spasm, convulsion, jump",
desist,""" v. cease; abstain. """"each pledged to desist from acts of sabotage"""" """,dəˈzist,"abstain from, refrain from, forbear from, hold back from, keep from",
moment,""" n. importance. """"the issues were of little moment to the electorate"""" """"issues of little moment""""""",ˈmōmənt,"importance, import, significance, consequence, note, weight, concern, interest",
avuncular,adj. relating to an uncle.,əˈvəNGkyələr,,
plaster,""" n. a soft mixture of lime with sand or cement and water for spreading on walls, ceilings, or other structures to form a smooth hard surface when dried. """"the plaster covering the bricks""""   v. cover (a wall, ceiling, or other structure) with plaster. """"bread plastered with butter""""""",ˈplastər,"plasterwork, stucco, pargeting, cover thickly, smother, spread, smear, cake, coat, slather",
moot,""" adj. subject to debate, dispute, or uncertainty, and typically not admitting of a final decision. """"whether the temperature rise was mainly due to the greenhouse effect was a moot point"""" """"a moot point""""   v. raise (a question or topic) for discussion; suggest (an idea or possibility). """"Sylvia needed a vacation, and a trip to Ireland had been mooted"""" """"the idea was first mooted in the 1930s""""""",mo͞ot,"debatable, open to discussion/question, arguable, questionable, at issue, open to doubt, disputable, controversial, contentious, disputed, unresolved, unsettled, up in the air, raise, bring up, broach, mention, put forward, introduce, advance, propose, suggest",
slapdash,""" adj. done too hurriedly and carelessly. """"he gave a slapdash performance"""" """,ˈslapˌdaSH,"careless, slipshod, hurried, haphazard, unsystematic, untidy, messy, hit-or-miss, negligent, neglectful, lax",
check,""" v. stop or slow down the progress of (something undesirable). """"efforts were made to check the disease"""" """,CHek,"halt, stop, arrest, cut short",
reservation,""" n. a qualification to an expression of agreement or approval; a doubt. """"some generals voiced reservations about making air strikes"""" """,ˌrezərˈvāSH(ə)n,"doubts, qualms, scruples",
wanton,""" adj. (of a cruel or violent action) deliberate and unprovoked. """"sheer wanton vandalism""""    adj. (especially of a woman) sexually immodest or promiscuous. """"a wanton seductress""""""",ˈwänt(ə)n,"deliberate, willful, malicious, spiteful, wicked, cruel, promiscuous, immoral, immodest, indecent, shameless, unchaste, fast, loose, impure, abandoned, lustful, lecherous, lascivious, libidinous, licentious, dissolute, debauched, degenerate, corrupt, whorish, disreputable",
boorish,""" adj. rough and bad-mannered; coarse. """"boorish behavior"""" """,ˈbo͝oriSH,"coarse, uncouth, rude, ill-bred, ill-mannered, uncivilized, unrefined, rough, thuggish, loutish, oafish, lubberly, lumpen",
screed,"n. a long speech or piece of writing, typically one regarded as tedious.   v. level (a floor or layer of concrete) with a straight edge using a back and forth motion while moving across the surface.",skrēd,,
finagle,""" v. obtain (something) by devious or dishonest means. """"Ted attended all the football games he could finagle tickets for""""""",fəˈnāɡ(ə)l,,
rakish,""" adj. having or displaying a dashing, jaunty, or slightly disreputable quality or appearance. """"he had a rakish, debonair look"""" """,ˈrākiSH,"dashing, debonair, stylish, jaunty, devil-may-care",
impregnable,""" adj. (of a fortified position) unable to be captured or broken into. """"an impregnable wall of solid sandstone""""    adj. unable to be defeated or destroyed; unassailable. """"the case against Hastings would have been almost impregnable"""" """"he displayed a calm, impregnable certainty""""""",imˈpreɡnəb(ə)l,"invulnerable, impenetrable, unassailable, inviolable, secure, strong, well fortified, well defended, unassailable, unbeatable, undefeatable, unshakable, invincible, unconquerable, invulnerable",
chivalrous,"adj. (of a man or his behavior) courteous and gallant, especially toward women. synonyms: gallant, gentlemanly, honorable, respectful, considerate",ˈSHivəlrəs,,
